,Gender,Age,hours_studied,economic_stutus,mothers_education,fathers_education,result
550,1,19,4.0,2,3,3,4.0
551,1,19,2.5,2,3,3,3.75
552,0,19,4.0,1,0,1,3.75
553,1,19,3.0,1,2,2,3.5
555,1,19,4.0,1,2,2,4.0
556,1,19,3.0,1,3,3,3.5
557,1,19,4.5,2,3,3,4.0
558,1,19,4.0,1,3,3,4.0
559,1,19,4.5,2,2,3,4.0
563,1,19,4.0,2,3,3,4.0
564,0,19,2.5,2,2,3,4.0
566,1,19,4.0,2,1,0,2.25
567,1,19,3.0,1,3,2,3.75
568,1,19,4.0,1,1,3,3.75
569,0,19,3.0,2,3,3,4.0
570,0,19,2.5,2,3,3,3.75
571,0,15,3.0,2,3,3,4.0
572,1,19,4.5,2,1,1,4.0
573,0,22,3.5,2,3,3,3.75
574,1,22,4.0,2,2,2,4.0
575,0,19,3.0,2,3,3,4.0
576,1,19,3.0,1,1,1,4.0
580,0,19,3.0,2,2,2,3.75
581,0,22,4.0,2,3,3,0.0
582,1,19,4.0,2,3,3,4.0
583,0,22,3.0,1,1,2,2.5
584,0,19,3.5,1,1,1,4.0
585,0,19,3.5,2,3,3,4.0
586,0,19,4.0,1,1,2,3.0
587,1,19,4.5,2,3,2,3.75
588,1,19,3.0,0,2,2,3.75
589,0,22,2.5,2,3,3,3.75
590,0,19,3.0,1,2,1,4.0
591,0,19,4.0,1,1,2,2.5
592,0,19,3.0,2,1,2,3.25
593,1,19,3.0,0,2,1,3.75
594,0,19,3.0,2,2,3,3.75
595,0,22,3.0,2,3,3,3.0
596,0,22,4.5,1,2,3,4.0
597,0,22,3.0,2,3,3,4.0
598,0,28,4.0,2,2,3,3.75
599,1,22,3.0,2,3,3,3.0
600,1,22,4.0,1,2,3,3.75
601,1,22,3.0,1,3,2,3.5
602,1,22,2.5,2,3,3,3.5
603,1,19,3.0,2,3,3,3.75
605,1,22,3.5,2,2,3,3.75
606,1,22,3.0,1,3,3,4.0
608,1,22,3.0,2,2,3,3.75
609,1,22,4.0,2,3,3,4.0
611,1,22,3.0,2,3,3,3.25
